TIER,Timestamp,Timeframe,Session,POI Type,Event,Previous Candle,Delta total,avg delta,Delta,Delta change (x),Avg OI change,Current OI change,OI change,Liq,MFE (%),MAE (%),RR,MFE to Trigger,Outcome
S,2025-09-13T17:00:00.000Z,30,NY,,Breakdown,31,-2.5985618106742976,-2.5985618106742976,-1165.1260000008572,9.522522900151152,82.61043439382416,-595.6320000000123,-595.6320000000123,40579.39239221279,,,,,
S,2025-09-13T19:15:00.000Z,5,NY,,Breakout,50,-14.193265785314827,-14.193265785314827,481.60499999996205,8.06213654977467,40.974155915905946,152.97999999999593,152.97999999999593,0,,,,,
B,2025-09-13T19:15:00.000Z,15,NY,,Breakout,50,-26.92158313990912,-26.92158313990912,486.0369999999808,4.550830929146901,73.60547778674908,138.59599999999045,138.59599999999045,0,,,,,
S,2025-09-13T20:05:00.000Z,5,NY,,Breakout,50,8.531415591590731,8.531415591590731,774.3929999999784,12.033500126886985,42.11325490772395,195.7850000000035,195.7850000000035,30895.5613906143,,,,,
S,2025-09-13T20:15:00.000Z,15,NY,,Breakout,50,-0.9636794626703589,-0.9636794626703589,877.5399999999581,7.582771943791094,69.0980153066448,704.051999999996,704.051999999996,17636.11062006145,,,,,
A,2025-09-13T20:30:00.000Z,30,NY,,Breakout,39,-11.141694433495402,-11.141694433495402,680.1449999999036,3.9032337207878767,102.85198264017677,632.8969999999972,632.8969999999972,14107.203018332566,,,,,
S,2025-09-13T22:50:00.000Z,5,Asia,,Breakdown,50,8.74659938360561,8.74659938360561,-419.9629999999696,9.85109603949084,33.13361142667003,-526.0760000000009,-526.0760000000009,0,,,,,
B,2025-09-13T23:00:00.000Z,15,Asia,,Breakdown,50,15.24199823194248,15.24199823194248,-417.9629999999677,3.7591940403374093,80.3463421681457,-527.7679999999964,-527.7679999999964,0,,,,,
S,2025-09-13T23:30:00.000Z,5,Asia,,Breakdown,50,-2.6228233026859344,-2.6228233026859344,-283.9249999999976,5.946279423600368,41.41165626795182,344.4820000000036,344.4820000000036,0,,,,,
B,2025-09-13T23:30:00.000Z,15,Asia,,Breakdown,50,-1.5842592253375352,-1.5842592253375352,-196.41199999999927,1.6578142594870802,94.52098406217507,311.4470000000001,311.4470000000001,106.22975723268806,,,,,
B,2025-09-14T02:25:00.000Z,5,Asia,,Breakdown,50,1.4209961040120735,1.4209961040120735,-60.055000000000284,2.4248905297887346,23.957830503027868,83.25400000000081,83.25400000000081,0,,,,,
S,2025-09-14T02:40:00.000Z,5,Asia,,Breakdown,50,-0.762122753383579,-0.762122753383579,-640.5609999999724,26.37054224305423,27.89955491365071,-126.87400000001071,-126.87400000001071,13440.46416991867,,,,,
B,2025-09-14T02:45:00.000Z,15,Asia,,Breakdown,50,-1.3174396933086645,-1.3174396933086645,-636.621999999982,7.2256711259746655,74.57750846463014,-147.05400000000373,-147.05400000000373,11713.177481237026,,,,,
S,2025-09-14T04:20:00.000Z,5,Asia,,Breakdown,50,-8.306412305907365,-8.306412305907365,-124.86999999999733,3.5168106919079096,26.748671775444816,-156.05999999999767,-156.05999999999767,5087.744371296021,,,,,
B,2025-09-14T04:30:00.000Z,5,Asia,,Breakout,50,-15.258963455011479,-15.258963455011479,159.2870000000002,3.945908555100058,35.627558989943324,-145.75,-145.75,0,,,,,
S,2025-09-14T04:35:00.000Z,5,Asia,,Breakout,50,-8.414023711677688,-8.414023711677688,437.03899999999135,9.705261647909794,39.946086088376916,260.4320000000007,260.4320000000007,46.36892901805316,,,,,
B,2025-09-14T04:45:00.000Z,15,Asia,,Breakout,50,-15.04772557203169,-15.04772557203169,560.7459999999854,5.845548242829568,85.59537106400425,339.3799999999901,339.3799999999901,34.30581214843592,,,,,
S,2025-09-14T05:40:00.000Z,5,Asia,,Breakout,50,14.289222328845241,14.289222328845241,371.3229999999715,7.695721727233349,37.92837915651294,-249.88400000000547,-249.88400000000547,0,,,,,
B,2025-09-14T05:45:00.000Z,15,Asia,,Breakout,50,11.100901228008276,11.100901228008276,323.4629999999669,3.061203047323144,87.46109428132863,-263.12399999999616,-263.12399999999616,241.33132647273504,,,,,
S,2025-09-14T06:25:00.000Z,5,Asia,,Breakdown,50,13.11795169350038,13.11795169350038,-423.0539999999809,7.566711406183774,41.15370818054906,-332.166000000012,-332.166000000012,0,,,,,
B,2025-09-14T06:30:00.000Z,15,Asia,,Breakdown,50,16.484114997805133,16.484114997805133,-434.1529999999739,3.9291477975255544,90.11440348813036,-309.71600000000035,-309.71600000000035,0,,,,,
A,2025-09-14T07:35:00.000Z,5,London,,Breakout,50,1.0247977970074216,1.0247977970074216,209.75099999999753,4.35990203019741,42.71858941386409,222.14400000000023,222.14400000000023,0,,,,,
B,2025-09-14T08:45:00.000Z,5,London,,Breakout,50,9.66187615884276,9.66187615884276,174.76100000000014,4.727678774674322,36.45617361339107,-55.60000000000582,-55.60000000000582,0,,,,,
A,2025-09-14T09:30:00.000Z,5,London,,Breakdown,50,11.673129008278385,11.673129008278385,-120.04699999999838,3.5918597117073783,29.16528520148133,102.45100000000093,102.45100000000093,0,,,,,
A,2025-09-14T11:35:00.000Z,5,London,,Breakdown,50,0.24220564642397124,0.24220564642397124,-69.44699999999935,2.5500073542024984,23.539084107107147,-94.23699999999371,-94.23699999999371,21145.02483572559,,,,,
A,2025-09-14T11:40:00.000Z,5,London,,Breakout,50,-2.4907043789259626,-2.4907043789259626,146.43900000000033,5.068943969838386,26.311551397024267,-70.08400000000256,-70.08400000000256,0,,,,,
S,2025-09-14T13:25:00.000Z,5,NY,,Breakdown,50,-0.8876585685672016,-0.8876585685672016,-215.65399999998465,9.354002649061455,19.933218489500327,-147.97400000000198,-147.97400000000198,2441.0616794435996,,,,,
