TIER,Timestamp,Timeframe,Session,POI Type,Event,Previous Candle,Delta total,avg delta,Delta,Delta change (x),Avg OI change,Current OI change,OI change,Liq,MFE (%),MAE (%),RR,MFE to Trigger,Outcome
S,2025-09-17T17:45:00.000Z,5,NY,,Breakdown,50,13.104028361014613,13.104028361014613,-177.9970000000253,3.154795266735106,44.47707911836507,-970.1650000000081,-970.1650000000081,6834.396268199281,,,,,
B,2025-09-17T17:50:00.000Z,5,NY,,Breakdown,50,5.60987038607187,5.60987038607187,-114.47099999999344,1.8707842606250717,80.77856621176284,-205.36399999999412,-205.36399999999412,0,,,,,
B,2025-09-17T18:00:00.000Z,30,NY,,Breakdown,50,13.098336147852667,13.098336147852667,-323.6140000003554,1.9317736955839888,141.90324276390268,-1373.5570000000007,-1373.5570000000007,12748.206507218316,,,,,
A,2025-09-17T18:00:00.000Z,15,NY,,Breakdown,50,14.004648991555607,14.004648991555607,-291.7979999999433,2.7243445337709837,136.1499429490075,-364.23399999999674,-364.23399999999674,19268.15941424163,,,,,
B,2025-09-17T18:00:00.000Z,5,NY,,Breakdown,50,2.5076865809146858,2.5076865809146858,-219.20299999993017,3.5106760746839862,82.9434353996318,-175.1530000000057,-175.1530000000057,29458.73666538848,,,,,
S,2025-09-17T18:05:00.000Z,5,NY,,Breakout,50,-6.186850147745896,-6.186850147745896,585.1200000006829,8.531115036568565,86.5594967565092,598.6370000000024,598.6370000000024,7100.270214366186,,,,,
S,2025-09-17T18:15:00.000Z,15,NY,,Breakout,50,2.0123882467909464,2.0123882467909464,352.2200000002431,3.0801827170934732,145.0944157745365,911.3559999999998,911.3559999999998,8150.91430284697,,,,,
B,2025-09-17T18:25:00.000Z,5,NY,,Breakout,50,-10.88754723656329,-10.88754723656329,500.57199999995606,4.778199027155304,107.67354338909068,509.8009999999922,509.8009999999922,271.94081842383656,,,,,
S,2025-09-17T18:30:00.000Z,15,NY,,Breakout,50,15.746020080259658,15.746020080259658,565.9060000009304,4.57561849658157,175.14388966573114,1312.3859999999986,1312.3859999999986,99329.02804423294,,,,,
B,2025-09-17T18:30:00.000Z,5,NY,,Breakout,50,9.16968990996688,9.16968990996688,505.8969999999496,4.205867706408416,123.44324756991034,843.5270000000019,843.5270000000019,10066.16487609061,,,,,
S,2025-09-17T18:30:00.000Z,30,NY,,Breakout,50,-0.10606919129274672,-0.10606919129274672,918.1260000002676,5.28743578346081,190.20339010649477,2223.7419999999984,2223.7419999999984,43107.044912132274,,,,,
B,2025-09-17T18:45:00.000Z,15,NY,,Breakdown,50,37.32092125361929,37.32092125361929,-840.527000001423,5.960303788652272,219.74161948276122,-420.9079999999958,-420.9079999999958,30654.5757921031,,,,,
B,2025-09-17T18:55:00.000Z,5,NY,,Breakdown,50,-6.295907769653402,-6.295907769653402,-257.71399999998835,1.7385162908888545,154.81967568227316,304.02999999999884,304.02999999999884,722.3457728374324,,,,,
B,2025-09-17T19:10:00.000Z,5,NY,,Breakout,50,-7.359513016805195,-7.359513016805195,358.20000000007224,2.404768136570442,164.851479177268,674.7390000000014,674.7390000000014,23405.60947327879,,,,,
B,2025-09-17T19:15:00.000Z,15,NY,,Breakout,50,-0.4868996809749322,-0.4868996809749322,324.003999999926,1.962289013589914,242.05055608539396,1110.8600000000006,1110.8600000000006,12993.878335652304,,,,,
B,2025-09-17T19:30:00.000Z,30,NY,,Breakout,50,-1.7356363430754342,-1.7356363430754342,423.3200000013135,1.8316451633333104,266.2042766803901,1352.1549999999988,1352.1549999999988,8245.33653407222,,,,,
B,2025-09-17T23:05:00.000Z,5,Asia,,Breakdown,50,16.359686124318525,16.359686124318525,-138.4499999999798,1.7086831775163362,83.39263341772198,-181.79899999999907,-181.79899999999907,32889.72278819479,,,,,
A,2025-09-18T00:25:00.000Z,5,Asia,,Breakdown,50,-8.504151780873869,-8.504151780873869,-660.3819999999854,7.82007973365259,68.20317800326362,-211.3759999999893,-211.3759999999893,397.63257518821734,,,,,
B,2025-09-18T01:50:00.000Z,5,Asia,,Breakout,50,3.605089331459433,3.605089331459433,314.8209999999642,3.7235316887438774,58.93438887164163,249.82799999999406,249.82799999999406,28753.345562576327,,,,,
B,2025-09-18T06:15:00.000Z,5,Asia,,Breakdown,50,0.8715122359029963,0.8715122359029963,-187.36399999999472,2.4858107103771356,52.42560497988503,-94.29300000000512,-94.29300000000512,6619.761667088248,,,,,
B,2025-09-18T06:30:00.000Z,5,Asia,,Breakdown,50,-12.95042461012903,-12.95042461012903,-266.27799999997757,3.3048243770127472,55.073599432182775,171.50999999999476,171.50999999999476,1004.5766127201047,,,,,
