TIER,Timestamp,Timeframe,Session,POI Type,Level,Level Price,Level Dist (%),Event,Previous Candle,Delta total,avg delta,Delta,Delta change (x),Avg OI change,Current OI change,OI change,Liq,MFE (%),MAE (%),RR,MFE to Trigger,Outcome
A,2025-09-23T18:05:00.000Z,5,NY,Monday Low,Breakdown,50,-29.93068025791605,-29.93068025791605,-151.6049999999849,2.52781987063972,75.53834917742844,361.32500000001164,4.783331962303181,0,,,,,
S,2025-09-23T20:40:00.000Z,5,NY,Monday Low,Breakdown,50,-8.327210327727789,-8.327210327727789,-307.3290000000028,5.4743348357765464,54.25791544342681,-375.653999999995,-6.923487512005115,36462.01570693059,,,,,
B,2025-09-23T20:45:00.000Z,15,NY,Monday Low,Breakdown,50,-37.75804524043026,-37.75804524043026,-305.30100000002676,2.079182542933013,163.31144059954624,-397.72299999999814,-2.435365204910838,37939.98057503285,,,,,
B,2025-09-24T00:15:00.000Z,5,Asia,PrevD Open,Breakout,50,1.3104159580056545,1.3104159580056545,106.95699999999854,3.1531447217609023,31.05513567818336,262.3590000000113,8.44816788819641,0,,,,,
B,2025-09-24T00:20:00.000Z,5,Asia,PrevD Open,Breakout,50,5.453419253770082,5.453419253770082,146.461000000002,3.981551524463387,40.12587545550994,203.92399999999907,5.082107186075038,0,,,,,
B,2025-09-24T00:35:00.000Z,5,Asia,PrevD Open,Breakdown,50,15.487163804168796,15.487163804168796,-150.82699999999608,3.4711645133798346,51.11365109547131,-110.79499999999825,-2.1676205402164026,0,,,,,
S,2025-09-24T02:20:00.000Z,5,Asia,PrevD Open,Breakdown,50,13.276402558902465,13.276402558902465,-407.0459999999736,9.351362108598252,44.858866703757215,170.81900000000314,3.8079205417308497,0,,,,,
B,2025-09-24T02:30:00.000Z,15,Asia,PrevD Open,Breakdown,50,5.821576178363377,5.821576178363377,-401.26999999996025,3.3688727891861188,114.55232932636797,176.8740000000107,1.5440454248301119,27.17284850375952,,,,,
B,2025-09-24T02:55:00.000Z,5,Asia,PrevD Open,Breakdown,50,-1.4568060888462488,-1.4568060888462488,-110.29899999997775,2.2432371951761603,41.616882176987595,-87.42600000000675,-2.1007340153018403,2488.632962938805,,,,,
B,2025-09-24T03:45:00.000Z,5,Asia,PrevD Open,Breakout,50,0.19576041563030766,0.19576041563030766,171.06999999999613,3.4529064271314702,41.77610642638386,-91.92300000000978,-2.2003726020277337,0,,,,,
B,2025-09-24T03:45:00.000Z,15,Asia,PrevD Open,Breakout,50,-8.11533687233169,-8.11533687233169,209.77200000001028,1.7707591060110814,109.6502050685504,-229.30100000000675,-2.091204479340954,573.104231161844,,,,,
B,2025-09-24T04:10:00.000Z,5,Asia,Monday Low,Breakdown,50,-7.530533645070394,-7.530533645070394,-188.5849999999865,2.982883028896648,43.789247742059686,-168.5240000000049,-3.848524665066058,231593.27820407302,,,,,
S,2025-09-24T04:15:00.000Z,15,Asia,PrevD Low,Breakdown,50,-2.5852556057159104,-2.5852556057159104,-1222.6820000007099,10.167263907790032,114.78818161076157,-634.523000000001,-5.527772903935553,205623.06602529253,,,,,
B,2025-09-24T04:20:00.000Z,5,Asia,PrevD Low,Breakout,50,-44.04095551012937,-44.04095551012937,189.64099999998456,1.9868000281295204,63.18512796181681,234.528999999995,3.7117753427946276,136.33425484673745,,,,,
B,2025-09-24T04:30:00.000Z,5,Asia,PrevD Open,Breakout,50,-26.102253048760176,-26.102253048760176,400.49899999996745,3.9010963978515187,74.01863292438367,279.44400000000314,3.7753196588415645,17682.53341334488,,,,,
B,2025-09-24T04:30:00.000Z,15,Asia,PrevD Open,Breakout,50,-50.432186758460766,-50.432186758460766,779.0179999998804,4.764953691565263,135.16993919465332,688.7880000000005,5.095718797417685,8498.83316892128,,,,,
