TIER,Timestamp,Timeframe,Session,POI Type,Event,Previous Candle,Delta total,avg delta,Delta,Delta change (x),Avg OI change,Current OI change,OI change,Liq,MFE (%),MAE (%),RR,MFE to Trigger,Outcome
B,2025-09-16T17:00:00.000Z,15,NY,,Breakout,50,-16.61458538669138,-16.61458538669138,309.7399999999605,4.0552957546099675,62.436170384130506,144.80299999999988,144.80299999999988,23700.52551625297,,,,,
B,2025-09-16T17:00:00.000Z,30,NY,,Breakout,50,-31.67353911026147,-31.67353911026147,320.4159999999749,2.327821043902937,115.24959595644691,239.63300000000163,239.63300000000163,15158.532421381597,,,,,
S,2025-09-16T17:05:00.000Z,5,NY,,Breakout,50,11.983271597341085,11.983271597341085,141.96699999996565,5.108832721712407,25.782417731702832,-140.76499999999942,-140.76499999999942,61797.698085390606,,,,,
B,2025-09-16T17:20:00.000Z,5,NY,,Breakout,50,32.90871939191874,32.90871939191874,91.374999999985,1.7163293617471178,30.6279162893439,110.83099999999104,110.83099999999104,74234.40528516067,,,,,
B,2025-09-16T17:30:00.000Z,30,NY,,Breakout,50,-17.16547458813543,-17.16547458813543,728.0370000010539,5.2326022389096005,115.41649899708926,235.39500000000407,235.39500000000407,55906.22565872791,,,,,
A,2025-09-16T17:35:00.000Z,5,NY,,Breakout,50,28.97116212561208,28.97116212561208,149.47499999998513,3.1430887346665646,36.57357074591608,-105.39400000000023,-105.39400000000023,47102.13218626219,,,,,
S,2025-09-16T17:45:00.000Z,15,NY,,Breakdown,50,22.4651589509059,22.4651589509059,-700.297999999764,7.324199432318407,62.575997086780504,-400.695000000007,-400.695000000007,15252.282943625289,,,,,
B,2025-09-16T18:00:00.000Z,30,NY,,Breakdown,50,11.585283165701698,11.585283165701698,-772.0450000001547,4.953227113575004,115.41088969319942,-280.63200000001234,-280.63200000001234,11873.755354083447,,,,,
B,2025-09-16T18:15:00.000Z,5,NY,,Breakdown,50,-0.7042094757889661,-0.7042094757889661,-185.0049999999785,3.276203796122523,44.87909727162972,224.6649999999936,224.6649999999936,0,,,,,
B,2025-09-16T18:30:00.000Z,30,NY,,Breakdown,50,-18.3945194614246,-18.3945194614246,-463.59300000001986,2.680179535714241,117.1101430808816,720.2610000000132,720.2610000000132,6.60010821261825,,,,,
B,2025-09-16T18:30:00.000Z,15,NY,,Breakdown,50,-11.58800523131268,-11.58800523131268,-350.0029999999687,3.3502855429630682,78.85565048482927,386.0450000000128,386.0450000000128,12.152239514602066,,,,,
A,2025-09-16T18:30:00.000Z,5,NY,,Breakdown,50,-3.813588345903209,-3.813588345903209,-429.25899999996386,7.800954664816073,47.74352399962213,416.9750000000058,416.9750000000058,0,,,,,
B,2025-09-16T19:55:00.000Z,5,NY,,Breakout,50,7.323398955390664,7.323398955390664,80.66599999999889,2.1735397773447707,26.401833069599505,120.61499999999069,120.61499999999069,0,,,,,
B,2025-09-16T20:00:00.000Z,15,NY,,Breakout,50,-12.520074096924922,-12.520074096924922,342.26899999997767,4.259577216189981,68.99900318298673,104.05599999999686,104.05599999999686,634.2234233961143,,,,,
S,2025-09-16T20:40:00.000Z,5,NY,,Breakout,50,2.4661829275363245,2.4661829275363245,261.72999999999854,9.257082759566263,26.48515870381032,215.54799999999523,215.54799999999523,0,,,,,
B,2025-09-16T20:45:00.000Z,15,NY,,Breakout,50,0.38129446333459965,0.38129446333459965,324.85599999998874,3.995061697877867,60.58762653762809,434.53600000000733,434.53600000000733,0,,,,,
A,2025-09-16T21:15:00.000Z,5,NY,,Breakdown,50,18.936540379824294,18.936540379824294,-152.44299999999976,4.2209917003180255,26.07977085706908,-177.14800000000105,-177.14800000000105,0,,,,,
A,2025-09-16T21:20:00.000Z,5,NY,,Breakdown,50,11.736724126089257,11.736724126089257,-101.03299999999973,2.5851461762058796,30.748955720039582,-89.81399999999849,-89.81399999999849,0,,,,,
S,2025-09-16T22:15:00.000Z,5,Asia,,Breakdown,50,3.8589695778384567,3.8589695778384567,-284.1839999999851,9.766073753825825,21.26373018727144,-237.7679999999964,-237.7679999999964,57.34968756102566,,,,,
B,2025-09-16T22:15:00.000Z,15,Asia,,Breakdown,50,7.302062618661266,7.302062618661266,-285.91599999997936,3.7866157958392574,59.7809057109609,-260.8319999999949,-260.8319999999949,10809.371925498905,,,,,
B,2025-09-16T22:35:00.000Z,5,Asia,,Breakdown,50,-11.120989840713014,-11.120989840713014,-131.14900000000102,3.5401759037602383,34.33073371117645,122.7960000000021,122.7960000000021,0,,,,,
A,2025-09-16T23:40:00.000Z,5,Asia,,Breakdown,50,-8.839389941772348,-8.839389941772348,-158.88699999999974,4.984064670116416,29.217095965705518,122.28499999998894,122.28499999998894,110.18535998910552,,,,,
B,2025-09-17T01:20:00.000Z,5,Asia,,Breakout,50,-12.2123892824955,-12.2123892824955,56.990000000002425,2.2788373249548757,25.61376774575104,-61.92299999999523,-61.92299999999523,462.897650688413,,,,,
B,2025-09-17T01:40:00.000Z,5,Asia,,Breakout,50,-12.061203150374844,-12.061203150374844,69.49100000000095,2.576296742855436,26.56489775432716,-85.68300000000454,-85.68300000000454,0,,,,,
